ALGERIA|-5850934.89000002
ARGENTINA|-1871699.91
BRAZIL|-5309367.94
CANADA|-8924784.73
CHINA|13562760.13
EGYPT|2587683.2
ETHIOPIA|-4130329.61
FRANCE|-366688.580000008
GERMANY|3092837.74000001
INDIA|2437767.44000001
INDONESIA|3717077.16999999
IRAN|-10038240.45
IRAQ|-5137845.03000001
JAPAN|1721099.02000001
JORDAN|-11843522.9
KENYA|6296829.15999999
MOROCCO|-6176289.72000001
MOZAMBIQUE|8710588.91
PERU|2295235.87000002
ROMANIA|554156.060000001
RUSSIA|7382098.54
SAUDI ARABIA|-10479764.46
UNITED KINGDOM|-2662991.97999999
UNITED STATES|13871762.7
VIETNAM|6562564.25999999
