1992-02-04|1
1992-04-10|1
1992-08-23|1
1992-10-22|1
1993-06-19|1
1993-06-20|1
1993-07-04|1
1993-07-15|1
1993-07-17|1
1993-08-15|1
1993-11-08|1
1993-12-17|1
1994-01-12|1
1994-02-10|1
1994-02-14|1
1994-03-12|1
1994-03-19|1
1994-07-27|1
1994-08-19|1
1994-08-23|1
1995-05-04|1
1995-06-02|1
1995-07-16|1
1995-07-19|1
1995-08-02|1
1995-08-11|1
1995-08-16|1
1995-08-22|1
1996-07-04|1
1997-02-14|1
1997-03-25|1
1997-03-28|1
1997-04-29|1
1997-05-11|1
1997-05-12|1
1997-05-17|1
1997-05-20|1
1997-05-24|1
1997-05-31|1
1997-06-04|1
1997-06-17|1
1997-08-17|1
1997-08-28|1
1997-09-17|1
1997-09-30|1
1997-10-01|1
1997-10-06|1
1997-11-13|2
1997-11-24|1
1997-11-27|1
1997-12-08|1
1997-12-12|1
